Mean Total Time

Worker: 8

2 Clients: 3.95949253959
8 Clients: 3.99602567328
16 Clients: 5.24161155783
24 Clients: 6.67627126241
32 Clients: 7.69576601759
40 Clients: 10.5742133453
48 Clients: 14.3904589795
56 Clients: 17.4190846754
64 Clients: 21.0489412317
90 Clients: 29.1171592674
120 Clients: 41.5857004719
170 Clients: 61.1783727701
220 Clients: 83.9306059711

Worker: 16

2 Clients: 3.51883962681
8 Clients: 3.53310772858
16 Clients: 4.03077449639
24 Clients: 4.64398011643
32 Clients: 5.03523614626
40 Clients: 6.5350496993
48 Clients: 6.63274543578
56 Clients: 8.16786970589
64 Clients: 7.98709256774
90 Clients: 14.4269062322
120 Clients: 18.1877676503
170 Clients: 29.4639520738
220 Clients: 39.6568819371

Worker: 32

2 Clients: 3.64111309325
8 Clients: 3.83517485303
16 Clients: 4.34547685672
24 Clients: 4.29495813429
32 Clients: 4.32933509438
40 Clients: 4.59610474486
48 Clients: 4.71124178036
56 Clients: 5.76877063132
64 Clients: 5.78969950388
90 Clients: 8.24652903674
120 Clients: 10.7299351711
170 Clients: 16.6447687918
220 Clients: 22.639322332

Worker: 64

2 Clients: 3.34980636609
8 Clients: 4.2458070143
16 Clients: 3.7669825741
24 Clients: 3.6621589263
32 Clients: 4.01839806377
40 Clients: 4.18104484749
48 Clients: 4.45910674699
56 Clients: 4.87374305497
64 Clients: 4.74860423025
90 Clients: 7.0732476878
120 Clients: 9.23817070948
170 Clients: 11.8755879497
220 Clients: 16.7751776481
