Mean Response Time

Worker: 8

2 Clients: 3.75052760671
8 Clients: 4.18420813188
16 Clients: 4.68257006435
24 Clients: 6.26858115932
32 Clients: 7.96715045568
40 Clients: 10.4975628701
48 Clients: 13.3320756
56 Clients: 16.2651526185
64 Clients: 21.8363731804
90 Clients: 31.4064845449
120 Clients: 42.1700688581
170 Clients: 61.0522687422
220 Clients: 80.6972340319

Worker: 16

2 Clients: 3.61388158259
8 Clients: 4.48138013405
16 Clients: 3.60446308784
24 Clients: 4.3690992652
32 Clients: 5.07656688813
40 Clients: 5.80377873961
48 Clients: 6.99755779635
56 Clients: 7.22974725026
64 Clients: 8.92432614341
90 Clients: 13.163922491
120 Clients: 21.4697779482
170 Clients: 29.9058574764
220 Clients: 40.4342929589

Worker: 32

2 Clients: 3.83782285646
8 Clients: 3.57580272704
16 Clients: 3.54105290056
24 Clients: 3.55177530655
32 Clients: 3.74728718903
40 Clients: 4.03286504014
48 Clients: 4.4341000667
56 Clients: 5.17060131355
64 Clients: 5.38402529327
90 Clients: 7.17528671668
120 Clients: 8.41710117257
170 Clients: 15.1253825502
220 Clients: 19.4478942534

Worker: 64

2 Clients: 3.64826353391
8 Clients: 3.91746853109
16 Clients: 3.64391744242
24 Clients: 3.83998106813
32 Clients: 3.9306512772
40 Clients: 4.74626232916
48 Clients: 4.83702369184
56 Clients: 4.39241651468
64 Clients: 4.03473640269
90 Clients: 5.71289159885
120 Clients: 7.55774567654
170 Clients: 10.0312296486
220 Clients: 13.5703799915
