Mean Waiting Time

Worker: 8

2 Clients: 0.158067576705
8 Clients: 0.246229169094
16 Clients: 0.335225678664
24 Clients: 0.578709621047
32 Clients: 0.828212041325
40 Clients: 1.43181931775
48 Clients: 2.03284153551
56 Clients: 2.80210038754
64 Clients: 3.30219478798
90 Clients: 5.64534763059
120 Clients: 8.26943245983
170 Clients: 13.2187918125
220 Clients: 18.4143773215

Worker: 16

2 Clients: 0.16009896138
8 Clients: 0.258655740457
16 Clients: 0.349037901103
24 Clients: 0.456841596817
32 Clients: 0.57606718045
40 Clients: 0.706869692484
48 Clients: 0.886488710197
56 Clients: 1.09818511459
64 Clients: 1.38199750551
90 Clients: 2.87261260696
120 Clients: 4.81130731808
170 Clients: 8.28476893502
220 Clients: 12.1733702074

Worker: 32

2 Clients: 0.149379567433
8 Clients: 0.252122283446
16 Clients: 0.357263900119
24 Clients: 0.446856259558
32 Clients: 0.521701044309
40 Clients: 0.613807469393
48 Clients: 0.736230132953
56 Clients: 0.842204249296
64 Clients: 0.944441381638
90 Clients: 1.43816836078
120 Clients: 2.34744891672
170 Clients: 4.37596915322
220 Clients: 6.71209944416

Worker: 64

2 Clients: 0.176273335816
8 Clients: 0.250198829785
16 Clients: 0.370812970523
24 Clients: 0.501803857798
32 Clients: 0.592279854286
40 Clients: 0.665995116255
48 Clients: 0.810868345315
56 Clients: 0.890259097903
64 Clients: 0.961832780715
90 Clients: 1.28132793791
120 Clients: 1.70623134064
170 Clients: 2.52715236041
220 Clients: 3.71793967569
