Mean Interarrival Time

Worker: 8

2 Clients: 3.07928255575
8 Clients: 0.863965371856
16 Clients: 0.451871041376
24 Clients: 0.329753570954
32 Clients: 0.273182798635
40 Clients: 0.250046281038
48 Clients: 0.23766874306
56 Clients: 0.236513078883
64 Clients: 0.223393462543
90 Clients: 0.215749137168
120 Clients: 0.211470786611
170 Clients: 0.20934654027
220 Clients: 0.211188634631

Worker: 16

2 Clients: 3.07291652212
8 Clients: 0.850492583912
16 Clients: 0.447202576779
24 Clients: 0.319886893776
32 Clients: 0.269450405433
40 Clients: 0.23399453829
48 Clients: 0.21762785779
56 Clients: 0.206781433913
64 Clients: 0.197276155031
90 Clients: 0.19087247598
120 Clients: 0.184536797058
170 Clients: 0.182328736811
220 Clients: 0.175718490938

Worker: 32

2 Clients: 3.0628917542
8 Clients: 0.853096647508
16 Clients: 0.460110193334
24 Clients: 0.314558370377
32 Clients: 0.262049175761
40 Clients: 0.232519809281
48 Clients: 0.21881654274
56 Clients: 0.205689341196
64 Clients: 0.198131442358
90 Clients: 0.178593044595
120 Clients: 0.169628025463
170 Clients: 0.161258264879
220 Clients: 0.157959743762

Worker: 64

2 Clients: 3.20397786976
8 Clients: 0.860085071118
16 Clients: 0.446175862069
24 Clients: 0.337534503228
32 Clients: 0.272146892417
40 Clients: 0.239692255208
48 Clients: 0.230623389206
56 Clients: 0.213953132961
64 Clients: 0.201885182251
90 Clients: 0.18210133123
120 Clients: 0.170976319495
170 Clients: 0.155673787613
220 Clients: 0.153652122332
