Mean Service Time

Worker: 8

2 Clients: 1.50300628447
8 Clients: 1.53482883781
16 Clients: 1.54602335724
24 Clients: 1.53181639101
32 Clients: 1.55528900713
40 Clients: 1.50895866714
48 Clients: 1.54825315732
56 Clients: 1.65044788325
64 Clients: 1.58305830682
90 Clients: 1.63348285734
120 Clients: 1.63326863567
170 Clients: 1.64898720439
220 Clients: 1.66464568772

Worker: 16

2 Clients: 1.53391022712
8 Clients: 1.55200180748
16 Clients: 1.50749242723
24 Clients: 1.58946877375
32 Clients: 1.73566974937
40 Clients: 1.74086203751
48 Clients: 1.86953850114
56 Clients: 1.96783684146
64 Clients: 2.0728630459
90 Clients: 2.31329813514
120 Clients: 2.50229809037
170 Clients: 2.67216238609
220 Clients: 2.71390756142

Worker: 32

2 Clients: 1.49326552184
8 Clients: 1.51975214972
16 Clients: 1.54382455474
24 Clients: 1.53703909936
32 Clients: 1.6804631479
40 Clients: 1.79852499783
48 Clients: 1.99622109698
56 Clients: 2.18846955817
64 Clients: 2.46419969037
90 Clients: 2.88074003531
120 Clients: 3.41330549869
170 Clients: 3.99819115045
220 Clients: 4.26708379746

Worker: 64

2 Clients: 1.5773357636
8 Clients: 1.5740492799
16 Clients: 1.52795088102
24 Clients: 1.69793693628
32 Clients: 1.773022335
40 Clients: 1.91548389653
48 Clients: 2.19389535242
56 Clients: 2.3127698159
64 Clients: 2.48525752637
90 Clients: 3.23212913937
120 Clients: 3.89888541888
170 Clients: 4.95911547989
220 Clients: 5.82400457885
