Mean Waiting Time

Worker: 8

2 Clients: 0.744778247839
8 Clients: 1.17189728601
16 Clients: 1.41636797612
24 Clients: 1.18236926989
32 Clients: 1.70095792944
40 Clients: 2.47001821693
48 Clients: 3.52998660229
56 Clients: 4.21299937617
64 Clients: 5.00495771068
90 Clients: 7.82949326704
120 Clients: 12.6874068775
170 Clients: 18.1344001953
220 Clients: 26.5584659949

Worker: 16

2 Clients: 0.72911737066
8 Clients: 1.11176980911
16 Clients: 0.985118792372
24 Clients: 1.38165457717
32 Clients: 1.39027846
40 Clients: 1.93331344752
48 Clients: 1.90942434143
56 Clients: 1.99663441322
64 Clients: 2.47364610115
90 Clients: 3.54918941147
120 Clients: 6.02294583582
170 Clients: 9.91894690616
220 Clients: 14.4860564651

Worker: 32

2 Clients: 0.901258295729
8 Clients: 0.789901607024
16 Clients: 0.88993643077
24 Clients: 1.07732909996
32 Clients: 1.14818694805
40 Clients: 1.35784615893
48 Clients: 1.28463490598
56 Clients: 1.76010268807
64 Clients: 1.73113750163
90 Clients: 2.51141234086
120 Clients: 3.5120929222
170 Clients: 5.53619312099
220 Clients: 8.21202530408

Worker: 64

2 Clients: 0.681339863035
8 Clients: 0.819600562076
16 Clients: 0.970644505523
24 Clients: 1.09682505187
32 Clients: 1.33377847103
40 Clients: 1.33097211306
48 Clients: 1.58802717221
56 Clients: 1.76295362306
64 Clients: 1.91179793938
90 Clients: 2.55971656807
120 Clients: 3.30128868268
170 Clients: 4.93467514658
220 Clients: 6.06719372713
