Mean Queue Length

Worker: 8

2 Clients: 0.0411706809821
8 Clients: 0.26716061146
16 Clients: 2.45704073273
24 Clients: 5.9568672044
32 Clients: 11.7062747551
40 Clients: 18.6468530394
48 Clients: 26.113743414
56 Clients: 33.8972132145
64 Clients: 43.2455936295
90 Clients: 68.2553781437
120 Clients: 97.9540436731
170 Clients: 147.537562486
220 Clients: 193.474230281

Worker: 16

2 Clients: 0.0378352773897
8 Clients: 0.359296097727
16 Clients: 0.656817815003
24 Clients: 2.45476943434
32 Clients: 4.1470137659
40 Clients: 8.36108281246
48 Clients: 12.934437397
56 Clients: 17.3808712478
64 Clients: 23.618641039
90 Clients: 48.3277012933
120 Clients: 75.7740526385
170 Clients: 122.072642727
220 Clients: 174.90139108

Worker: 32

2 Clients: 0.0405741478524
8 Clients: 0.277082496675
16 Clients: 0.829651234022
24 Clients: 1.6464516202
32 Clients: 2.05305820725
40 Clients: 4.5159073442
48 Clients: 5.45501244477
56 Clients: 8.28577887209
64 Clients: 9.67770069009
90 Clients: 22.7032832682
120 Clients: 39.0472358696
170 Clients: 81.2742407514
220 Clients: 127.39180061

Worker: 64

2 Clients: 0.0674072973564
8 Clients: 0.316900408546
16 Clients: 0.859889568869
24 Clients: 1.49321694262
32 Clients: 2.5918294277
40 Clients: 3.3849772477
48 Clients: 5.16499846331
56 Clients: 5.83955949809
64 Clients: 6.63299911859
90 Clients: 14.0417590503
120 Clients: 24.2980044353
170 Clients: 46.0825306687
220 Clients: 66.6952233077
