Histogram Data

Time	Percentage

0.25	0.0
0.5	0.0
0.75	0.0
1.0	0.158128040788
1.25	3.03808871495
1.5	12.2710272498
1.75	19.2666482819
2.0	16.8470654419
2.25	12.3633626119
2.5	8.45596978636
2.75	5.72323481075
3.0	3.69837602275
3.25	2.59462374391
3.5	1.90646733312
3.75	1.45644425464
4.0	1.19673054603
4.25	1.04678250062
4.5	1.05647317508
4.75	1.02231279165
5.0	0.976948786082
5.25	0.856118541607
5.5	0.801675008224
5.75	0.681291046983
6.0	0.551548843239
6.25	0.434450711807
6.5	0.37517681124
6.75	0.30081305403
7.0	0.255953128259
7.25	0.221877944256
7.5	0.2029113613
7.75	0.180944734642
8.0	0.155761160891
8.25	0.142772180278
8.5	0.125122594184
8.75	0.090946314398
9.0	0.10310815828
9.25	0.0940205301956
9.5	0.0871413947937
9.75	0.0784089421397
10.0	0.0762802823537
10.25	0.0581613575696
10.5	0.0591089765257
10.75	0.0506390263205
11.0	0.0447065993068
11.25	0.0480625115261
11.5	0.0368352017747
11.75	0.0374417918261
12.0	0.0346497133656
12.25	0.0234029368875
12.5	0.0244105500151
12.75	0.0289664881432
13.0	0.0293461125239
13.25	0.0233955484372
13.5	0.0240623567978
13.75	0.0282258176449
14.0	0.0183744986365
14.25	0.0247934326726
14.5	0.018541017467
14.75	0.0206880162972
15.0	0.0274801451383
15.25	0.0215487698577
15.5	0.020886077684
15.75	0.015763189642
16.0	0.0161761181292
16.25	0.0167873775648
16.5	0.0182271419259
16.75	0.0129923438113
17.0	0.0133253667841
17.25	0.0117191717849
0.0	0.0143293156141
