Histogram Data

Time	Percentage

0.25	0.0
0.5	0.0
0.75	0.0
1.0	0.0
1.25	0.0
1.5	0.106111111111
1.75	1.54472222222
2.0	4.90305555556
2.25	8.64361111111
2.5	10.2436111111
2.75	9.83194444444
3.0	7.94694444444
3.25	5.935
3.5	4.44555555556
3.75	3.38194444444
4.0	2.86805555556
4.25	2.55722222222
4.5	2.56888888889
4.75	2.66361111111
5.0	2.8575
5.25	2.95611111111
5.5	3.13666666667
5.75	3.14777777778
6.0	3.09222222222
6.25	2.81805555556
6.5	2.41916666667
6.75	1.96722222222
7.0	1.54388888889
7.25	1.18222222222
7.5	0.932222222222
7.75	0.751111111111
8.0	0.613888888889
8.25	0.521944444444
8.5	0.448055555556
8.75	0.375833333333
9.0	0.339722222222
9.25	0.313333333333
9.5	0.283333333333
9.75	0.261666666667
10.0	0.617222222222
10.25	0.132361111111
10.5	0.132361111111
10.75	0.132361111111
11.0	0.132361111111
11.25	0.0754166666666
11.5	0.0754166666667
11.75	0.0754166666667
12.0	0.0754166666666
12.25	0.0480555555556
12.5	0.0480555555556
12.75	0.0480555555555
13.0	0.0480555555555
13.25	0.0329166666667
13.5	0.0329166666667
13.75	0.0329166666667
14.0	0.0329166666667
14.25	0.0277777777778
14.5	0.0277777777778
14.75	0.0277777777778
15.0	0.0277777777778
15.25	0.0201388888889
15.5	0.0201388888889
15.75	0.0201388888889
16.0	0.0201388888889
16.25	0.015
16.5	0.015
16.75	0.015
17.0	0.015
17.25	0.01375
17.5	0.01375
17.75	0.01375
18.0	0.01375
18.25	0.0104166666667
18.5	0.0104166666667
18.75	0.0104166666666
19.0	0.0104166666667
19.25	0.00861111111112
19.5	0.00861111111109
19.75	0.00861111111112
