Mean Queue Length

Worker: 8

2 Clients: 0.0670178818786
8 Clients: 0.261302834351
16 Clients: 2.42928178103
24 Clients: 6.10624871546
32 Clients: 11.9254271145
40 Clients: 19.3021536719
48 Clients: 25.3858148919
56 Clients: 34.7822279231
64 Clients: 42.827415732
90 Clients: 67.6592694809
120 Clients: 97.8022100178
170 Clients: 148.644852925
220 Clients: 193.45879627

Worker: 16

2 Clients: 0.0392921945692
8 Clients: 0.345670289137
16 Clients: 0.975587608228
24 Clients: 2.63268020908
32 Clients: 5.60090084531
40 Clients: 9.14986437642
48 Clients: 12.5508125515
56 Clients: 18.2713332182
64 Clients: 23.1996649205
90 Clients: 49.1466712482
120 Clients: 78.5845182175
170 Clients: 124.893771553
220 Clients: 177.150736816

Worker: 32

2 Clients: 0.0429023700456
8 Clients: 0.332857227357
16 Clients: 0.95164953517
24 Clients: 1.9212644975
32 Clients: 3.12711320549
40 Clients: 4.81135286415
48 Clients: 6.58764741135
56 Clients: 9.90203659877
64 Clients: 11.1833620362
90 Clients: 24.3406059388
120 Clients: 43.7073998417
170 Clients: 86.9596320214
220 Clients: 135.057749663

Worker: 64

2 Clients: 0.0305746779355
8 Clients: 0.346694685961
16 Clients: 0.8955643425
24 Clients: 1.54986572888
32 Clients: 2.61851570204
40 Clients: 4.18939320397
48 Clients: 5.62438036316
56 Clients: 8.02479840199
64 Clients: 8.78586988334
90 Clients: 17.3926902164
120 Clients: 25.7324198907
170 Clients: 46.8248230085
220 Clients: 75.2640467809
